Color;VehicleModel;VehicleDesc;ModelYear;VehicleType;DateStolen;Location
White;Caravan;LUNA DELTA;2007;Caravan;24/03/22;Wellington
Silver;Trailer;VULCAN;2016;Trailer;31/10/21;Wanaka
Silver;Trailer;TUFF;2016;Trailer;28/10/21;Bay of Plenty
Grey;Custombuilt;4;2016;Boat Trailer;22/10/21;Canterbury Bight
Blue;Trailer;FLATDECK;2010;Trailer - Heavy;08/11/21;Canterbury Bight
Silver;Briford;TRAILER 8X4;2016;Trailer;25/11/21;Manukau
Blue;Suzuki;GSX 750;2005;Roadbike;26/03/22;Manukau
Silver;Briford;8X4;2019;Trailer;16/02/22;Canterbury Bight
Silver;Voyager;JII;1998;Boat Trailer;05/01/22;Bay of Plenty
Silver;Trailer;HOSKING;2000;Boat Trailer;26/12/21;Auckland
Grey;Trailer;SPORTLINE 610 HT;2019;Boat Trailer;30/03/22;Wakatipu L.
Red;Aprilia;PEGASO;1998;Roadbike;05/04/22;South Invercargill
Blue;Yamaha;CV50 JOG;2007;Moped;26/10/21;Manukau
